merchant,category,job,age,state,city,amt,is_fraud
Pollich LLC,home,Public house manager,49,WA,Burlington,146.13,0
Koepp-Parke,grocery_pos,Advertising account planner,41,CA,Glendale,28.84,0
Wiegand-Lowe,grocery_net,"Engineer, communications",22,MO,Ballwin,31.2,0
Hackett-Lueilwitz,grocery_pos,Electronics engineer,34,MO,Centerview,121.73,0
Smitham-Schille,grocery_net,Location manager,33,UT,Moab,84.23,0
Lynch-Wisozk,home,Public house manager,49,WA,Burlington,52.25,0
"Bins, Balistreri and Beatty",shopping_pos,"Therapist, occupational",72,CA,Carlotta,64.05,0
Marvin-Lin,personal_care,Geoscientist,61,UT,Hatch,8.84,0
Shields Inc,grocery_net,Health service manager,96,CA,June Lake,38.95,0
"Dare, Casper and Bartoletti",kids_pets,"Engineer, building services",60,OR,Portland,38.12,0
"Torp, Muller and Bore",health_fitness,Medical technical officer,54,WA,Monitor,55.94,0
Bins-Rice,gas_transport,"Engineer, biomedical",55,OR,Stayton,56.13,0
"Becker, Harris and Harvey",personal_care,Architect,70,MO,Mound City,22.2,0
Gottlieb-Hansen,personal_care,"Research officer, political party",39,WA,Conway,19.51,0
"Bahringer, Bergnaum and Quitzon",home,Metallurgist,48,NE,Carroll,77.96,0
Wilkinson Lt,entertainment,Contractor,42,AZ,Phoenix,100.41,0
Pacocha-Weissnat,kids_pets,Occupational hygienist,63,MO,Saint Louis,45.0,0
Howe Lt,misc_pos,Colour technologist,64,MO,Camden,4.72,0
"Hills, Hegmann and Schaefe",health_fitness,"Therapist, art",35,NM,Moriarty,5.14,0
Nolan-Williamson,kids_pets,Health physicist,52,CA,Newhall,146.07,0
Prosacco LLC,personal_care,Land/geomatics surveyor,51,MO,Utica,21.24,0
Torp-Labadie,gas_transport,"Therapist, art",35,NM,Moriarty,38.82,0
"Eichmann, Bogan and Rodriguez",gas_transport,Chiropodist,56,NE,Sprague,50.04,0
Kuphal-Toy,food_dining,"Civil engineer, contracting",62,CA,Santa Monica,18.43,0
"Witting, Beer and Ernse",home,"Administrator, education",84,AK,Wales,15.97,0
Klein Group,entertainment,"Surveyor, minerals",83,NE,Campbell,44.94,0
"Graham, Hegmann and Hammes",food_dining,"Administrator, education",84,AK,Wales,35.89,0
Grimes LLC,entertainment,Research scientist (physical sciences),42,WY,Lonetree,77.35,0
Friesen Lt,health_fitness,"Research officer, political party",39,WA,Conway,29.89,0
Greenholt Lt,health_fitness,Product designer,88,NE,Westerville,30.42,0
"Schiller, Blanda and Johnson",home,"Surveyor, minerals",83,NE,Campbell,140.53,0
Hudson-Ratke,grocery_pos,"Buyer, industrial",32,CA,Daly City,209.19,0
Kiehn-Emmerich,grocery_pos,"Therapist, art",35,NM,Moriarty,95.61,0
Connelly PLC,food_dining,"Engineer, petroleum",86,OR,Scotts Mills,43.17,0
Klocko LLC,misc_net,Barista,49,CA,Oakland,59.17,0
"Reichert, Rowe and Mraz",shopping_net,"Engineer, production",30,MO,Independence,286.2,0
"Rippin, Kub and Mann",misc_net,Location manager,33,UT,Moab,15.0,0
Cummerata-Jones,gas_transport,Counsellor,35,MO,Kansas City,64.13,0
Eichmann-Russel,misc_pos,Education administrator,57,CA,Vinton,6.88,0
Jakubowski Group,food_dining,Public librarian,49,WY,Jelm,35.3,0
Rutherford-Mertz,grocery_pos,Immigration officer,36,CA,Fiddletown,96.18,0
Kuhn LLC,misc_net,Building surveyor,88,AZ,Paradise Valley,211.3,0
Lynch-Wisozk,home,Historic buildings inspector/conservation officer,51,NM,Espanola,43.03,0
Block Group,misc_pos,Chartered public finance accountant,64,CA,San Diego,444.38,0
"Reichert, Huels and Hoppe",shopping_net,Public relations account executive,59,NM,Lamy,40.07,0
Hirthe-Beie,health_fitness,Further education lecturer,35,CO,Pueblo,121.71,0
Kunze Inc,grocery_pos,Tax inspector,35,MO,Rocky Mount,95.01,0
Haley Group,misc_pos,"Therapist, art",35,NM,Moriarty,9.41,0
"Kling, Howe and Schneide",home,Tax inspector,35,MO,Rocky Mount,35.62,0
Shields Inc,grocery_net,Special educational needs teacher,45,WA,Orient,27.05,0
Dibbert and Sons,entertainment,Contractor,42,AZ,Phoenix,176.49,0
"Streich, Hansen and Veum",gas_transport,Radio broadcast assistant,28,OR,Shedd,74.67,0
"Koss, Hansen and Lueilwitz",home,Electronics engineer,34,MO,Centerview,12.97,0
"Schiller, Blanda and Johnson",home,Land/geomatics surveyor,38,MO,Arnold,153.6,0
"Stanton, Jakubowski and Baumbach",shopping_net,Local government officer,69,OR,Powell Butte,2.8,0
Botsford Lt,shopping_pos,Information systems manager,37,WY,Fort Washakie,2.39,0
Sawayn PLC,shopping_pos,"Civil engineer, contracting",62,CA,Santa Monica,1.6,0
Miller-Hauck,grocery_pos,"Therapist, horticultural",47,CA,Huntington Beach,193.42,0
Donnelly PLC,misc_net,Educational psychologist,42,WY,Manville,2.63,0
Heaney-Marquardt,entertainment,Land/geomatics surveyor,51,MO,Utica,30.77,0
Erdman-Kertzmann,gas_transport,"Geologist, engineering",66,AZ,Parks,56.49,0
Gulgowski LLC,home,Counselling psychologist,23,AZ,Phoenix,55.94,0
"Heller, Gutmann and Zieme",grocery_pos,Early years teacher,50,CA,Helm,83.97,0
Marks Inc,gas_transport,Telecommunications researcher,73,NE,Holstein,61.48,0
Cummings LLC,gas_transport,Television/film/video producer,66,NE,Nelson,52.68,0
Boyer PLC,misc_pos,Chartered public finance accountant,64,CA,San Diego,3.43,0
Streich Lt,home,"Engineer, automotive",49,NE,Hooper,69.96,0
"Kovacek, Dibbert and Ondrick",grocery_pos,Insurance broker,41,NE,Sutherland,106.95,0
Stiedemann Lt,food_dining,"Therapist, occupational",72,CA,Carlotta,39.24,0
Osinski Inc,personal_care,Water engineer,48,CO,Littleton,105.12,0
Dare-Marvin,entertainment,Clothing/textile technologist,24,WA,Tekoa,152.54,0
"Conroy, Balistreri and Gorczany",health_fitness,Clinical research associate,50,MO,Odessa,117.12,0
Harber Inc,gas_transport,Licensed conveyancer,23,NM,Ruidoso,69.8,0
Ullrich Lt,kids_pets,Research scientist (physical sciences),42,WY,Lonetree,58.56,0
"Metz, Russel and Metz",kids_pets,"Designer, exhibition/display",51,CA,Sun City,5.36,0
"Koss, Hansen and Lueilwitz",home,Petroleum engineer,36,AZ,Superior,135.06,0
Hackett-Lueilwitz,grocery_pos,Armed forces training and education officer,64,CA,Port Costa,119.81,0
"Schumm, Bauch and Ondrick",grocery_pos,Occupational psychologist,69,CA,Tomales,155.13,0
Romaguera Lt,health_fitness,"Teacher, early years/pre",82,MO,Louisiana,11.86,0
"Durgan, Gislason and Spence",home,"Lecturer, higher education",30,WY,Riverton,62.78,0
Gleason and Sons,kids_pets,"Administrator, education",84,AK,Wales,21.79,0
Conroy-Cruickshank,gas_transport,Network engineer,67,CO,Kirk,64.42,0
Macejkovic-Lesch,shopping_pos,"Surveyor, mining",50,NE,Fullerton,9.54,0
Bernier and Sons,kids_pets,"Engineer, civil (consulting)",57,AK,Huslia,26.2,0
"Boehm, Block and Jakubowski",misc_pos,Intelligence analyst,52,ID,Meridian,24.61,0
Labadie LLC,personal_care,Osteopath,39,WA,Issaquah,101.58,0
Rempel Inc,shopping_net,Osteopath,39,WA,Issaquah,2.12,0
Cormier LLC,health_fitness,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,47.33,0
Smitham-Boehm,grocery_net,Barista,49,CA,Oakland,35.53,0
"Olson, Becker and Koch",gas_transport,Production manager,38,MO,Wheaton,64.38,0
Auer-West,shopping_net,"Nurse, children's",43,NE,North Loup,1.31,0
Schamberger-O'Keefe,grocery_pos,Land/geomatics surveyor,51,MO,Utica,102.56,0
Towne LLC,misc_pos,Information systems manager,37,WY,Fort Washakie,7.3,0
"Effertz, Welch and Schowalte",entertainment,"Engineer, automotive",49,NE,Hooper,41.07,0
Johns Inc,entertainment,Community arts worker,54,CO,Iliff,65.25,0
Ankunding LLC,shopping_net,"Surveyor, minerals",83,NE,Campbell,52.76,0
Bogisich Inc,grocery_pos,"Therapist, art",35,NM,Moriarty,44.61,0
Dibbert and Sons,entertainment,"Engineer, communications",22,MO,Ballwin,24.94,0
Sawayn PLC,shopping_pos,Water engineer,48,CO,Littleton,5.47,0
Bogisich-Homenick,misc_net,Advertising account planner,41,CA,Glendale,9.78,0
"Mante, Luettgen and Hackett",health_fitness,"Research officer, political party",39,WA,Conway,41.26,0
"Moore, Williamson and Emmerich",home,Production manager,38,MO,Wheaton,15.2,0
Kutch-Wilderman,home,Special educational needs teacher,45,WA,Orient,63.46,0
"Greenholt, O'Hara and Balistreri",shopping_net,Investment analyst,49,MO,Redford,6.89,0
Predovic Inc,shopping_net,Intelligence analyst,52,ID,Meridian,4.86,0
Gulgowski LLC,home,Intelligence analyst,52,ID,Meridian,25.22,0
Kuphal-Bartoletti,misc_net,Water engineer,48,CO,Littleton,131.57,0
Macejkovic-Lesch,shopping_pos,"Surveyor, land/geomatics",35,NM,Red River,9.4,0
Adams-Barrows,health_fitness,Geoscientist,26,CA,San Jose,30.9,0
"Streich, Hansen and Veum",gas_transport,Barrister,87,OR,Cascade Locks,57.93,0
Baumbach Lt,personal_care,Insurance broker,41,NE,Sutherland,78.5,0
Morissette-Schaefe,personal_care,Intelligence analyst,52,ID,Meridian,23.64,0
Abernathy and Sons,food_dining,Tourist information centre manager,48,MO,Meadville,51.0,0
Rau and Sons,grocery_pos,"Pilot, airline",35,WY,Laramie,179.14,0
Bailey-Mo,grocery_pos,"Surveyor, mining",50,NE,Fullerton,87.78,0
"Schultz, Simonis and Little",grocery_pos,Musician,41,WA,Burbank,197.14,0
Hermann and Sons,shopping_pos,Wellsite geologist,67,CA,Claremont,11.28,0
Shanahan-Lehne,personal_care,Public house manager,49,WA,Burlington,33.02,0
"Heller, Gutmann and Zieme",grocery_pos,Teaching laboratory technician,38,WA,Vancouver,190.3,0
Bahringer Group,health_fitness,Electronics engineer,34,MO,Centerview,67.83,0
Cummings LLC,gas_transport,Armed forces training and education officer,64,CA,Port Costa,62.12,0
Emard Inc,gas_transport,Chiropodist,56,NE,Sprague,75.21,0
Bode-Schuste,kids_pets,Museum education officer,81,OR,Kent,73.87,0
Sawayn PLC,shopping_pos,Petroleum engineer,36,AZ,Superior,446.62,0
"Langosh, Wintheiser and Hyatt",food_dining,Freight forwarder,47,WY,Fort Washakie,56.19,0
Wilkinson Lt,entertainment,Museum/gallery exhibitions officer,31,CO,Colorado Springs,45.53,0
"Ruecker, Beer and Collie",shopping_net,Land/geomatics surveyor,38,MO,Arnold,6.23,0
Nader-Helle,misc_net,Firefighter,50,CA,Norwalk,353.02,0
Trantow PLC,grocery_net,Early years teacher,50,CA,Helm,50.64,0
Cartwright PLC,kids_pets,Metallurgist,48,NE,Carroll,55.01,0
Hammes-Beatty,kids_pets,"Therapist, art",35,NM,Moriarty,104.99,0
Heidenreich PLC,grocery_pos,"Education officer, museum",56,WY,Freedom,105.84,0
Johns Inc,entertainment,"Designer, exhibition/display",51,CA,Sun City,31.7,0
"Kovacek, Dibbert and Ondrick",grocery_pos,Chief Marketing Officer,80,WA,Colton,132.66,0
Corwin-Gorczany,misc_net,Public house manager,49,WA,Burlington,4.95,0
Sporer Inc,gas_transport,"Scientist, physiological",59,OR,Eugene,65.68,0
Reichert-Weissnat,travel,"Therapist, occupational",72,CA,Carlotta,14.64,0
"Pouros, Walker and Spence",kids_pets,"Administrator, local government",50,WY,Alva,51.75,0
Dooley Inc,shopping_pos,"Research officer, political party",39,WA,Conway,36.92,0
Kutch-Ferry,home,Freight forwarder,47,WY,Fort Washakie,86.59,0
Beier-Hyatt,shopping_pos,"Research officer, political party",39,WA,Conway,73.47,0
Cummerata-Jones,gas_transport,Education administrator,57,CA,Vinton,63.33,0
Marks Inc,gas_transport,Public relations account executive,84,CO,Meredith,44.95,0
Sporer Inc,gas_transport,Tourist information centre manager,48,MO,Meadville,63.6,0
"Lehner, Mosciski and King",misc_net,"Geologist, engineering",66,AZ,Parks,22.77,0
Rempel Inc,shopping_net,Agricultural consultant,73,MO,Blairstown,4.64,0
Thompson-Gleason,health_fitness,Advertising account planner,41,CA,Glendale,96.59,0
Kiehn-Emmerich,grocery_pos,Sales executive,53,CA,Laguna Hills,103.73,0
Cartwright-Harris,grocery_pos,Magazine features editor,44,CA,Sacramento,48.33,0
"Berge, Kautzer and Harris",personal_care,Barrister,87,OR,Cascade Locks,152.47,0
Botsford and Sons,home,"Engineer, agricultural",43,MO,Kissee Mills,79.93,0
"Robel, Cummerata and Prosacco",gas_transport,Telecommunications researcher,73,NE,Holstein,53.89,0
Connelly PLC,food_dining,Counselling psychologist,23,AZ,Phoenix,8.74,0
Kutch-Hegmann,grocery_net,Immigration officer,36,CA,Fiddletown,55.49,0
Little Lt,kids_pets,"Engineer, communications",22,MO,Ballwin,70.45,0
"Runte, Green and Em",health_fitness,Airline pilot,38,CA,Napa,15.31,0
"Greenholt, Jacobi and Gleason",gas_transport,Charity officer,56,NM,Albuquerque,85.68,0
Jast and Sons,food_dining,"Investment banker, corporate",73,MO,Unionville,53.39,0
O'Keefe-Wisoky,food_dining,"Nurse, children's",43,NE,North Loup,133.96,0
"Kutch, Hermiston and Farrell",gas_transport,Product designer,88,NE,Westerville,62.26,0
"Bahringer, Bergnaum and Quitzon",home,Health physicist,52,CA,Newhall,7.24,0
Schmitt Lt,misc_net,Armed forces training and education officer,64,CA,Port Costa,22.65,0
Bechtelar-Rippin,food_dining,"Scientist, research (maths)",32,HI,Paauilo,24.61,0
Hackett-Lueilwitz,grocery_pos,Early years teacher,50,CA,Helm,94.71,0
Skiles LLC,home,Occupational psychologist,69,CA,Tomales,48.38,0
Kub-Heaney,health_fitness,Tax inspector,35,MO,Rocky Mount,20.11,0
"Monahan, Bogisich and Ledne",misc_pos,Insurance broker,41,NE,Sutherland,6.62,0
Homenick LLC,personal_care,Systems analyst,77,CA,Grenada,37.04,0
"Quitzon, Green and Bashirian",shopping_pos,"Surveyor, land/geomatics",45,NM,Kirtland Afb,3.01,0
Reichel Inc,entertainment,Dealer,47,OR,Athena,66.06,0
Terry Lt,home,Community arts worker,54,CO,Iliff,33.53,0
Jakubowski Inc,home,Museum/gallery exhibitions officer,31,CO,Colorado Springs,88.08,0
Wilkinson PLC,kids_pets,Insurance broker,41,NE,Sutherland,4.33,0
"Roob, Conn and Tremblay",shopping_pos,"Therapist, music",35,CA,Mountain Center,4.18,0
Prohaska-Murray,gas_transport,"Engineer, maintenance",67,OR,Gardiner,53.18,0
Erdman-Durgan,health_fitness,"Surveyor, land/geomatics",45,NM,Kirtland Afb,98.29,0
Leffler-Goldne,personal_care,Charity officer,56,NM,Albuquerque,2.51,0
Hilpert-Conroy,kids_pets,Water engineer,48,CO,Littleton,21.3,0
Kiehn Inc,grocery_pos,"Civil engineer, contracting",68,AZ,Humboldt,151.54,0
Fadel-Hilpert,health_fitness,Aeronautical engineer,44,MO,Matthews,96.56,0
Adams-Barrows,health_fitness,Special educational needs teacher,45,WA,Orient,2.28,0
Kunze Inc,grocery_pos,Barrister,87,OR,Cascade Locks,124.11,0
Upton PLC,entertainment,Naval architect,25,MO,Owensville,245.53,0
Bins-Howell,personal_care,Counsellor,35,MO,Kansas City,123.65,0
Jast-McDermott,shopping_pos,"Scientist, audiological",60,UT,Mendon,5.06,0
"Reichel, Bradtke and Blan",travel,Public relations account executive,59,NM,Lamy,1.81,0
Johns-Hoege,entertainment,Freight forwarder,47,WY,Fort Washakie,64.55,0
Leannon-W,food_dining,Naval architect,56,NM,High Rolls Mountain Park,133.54,0
"Gutmann, McLaughlin and Wiz",home,Agricultural consultant,73,MO,Blairstown,96.28,0
Johns-Hoege,entertainment,Learning mentor,68,CA,Indian Wells,18.85,0
Streich Lt,home,Airline pilot,38,CA,Napa,11.28,0
Bahringer Group,health_fitness,"Research officer, political party",39,WA,Conway,4.89,0
Turner LLC,travel,Nature conservation officer,61,ID,Malad City,2.71,0
Brown PLC,misc_net,"Surveyor, minerals",83,NE,Campbell,9.28,0
"Heathcote, Yost and Kertzmann",shopping_net,Immigration officer,36,CA,Fiddletown,111.65,0
"Turner, Ziemann and Lehne",food_dining,Naval architect,56,NM,High Rolls Mountain Park,14.54,0
Effertz LLC,entertainment,Associate Professor,56,NE,Brainard,15.36,0
Howe PLC,entertainment,Barista,49,CA,Oakland,45.78,0
Bednar PLC,kids_pets,Armed forces training and education officer,64,CA,Port Costa,30.21,0
Spinka Inc,grocery_net,"Engineer, production",30,MO,Independence,91.48,0
"Haley, Batz and Aue",health_fitness,Tax inspector,35,MO,Rocky Mount,17.28,0
Nader-Maggio,personal_care,Museum/gallery exhibitions officer,31,CO,Colorado Springs,117.19,0
Wilkinson PLC,kids_pets,"Surveyor, minerals",36,UT,Thompson,113.68,0
Schaefer Lt,kids_pets,Product designer,88,NE,Westerville,9.18,0
Friesen-Stamm,gas_transport,"Administrator, education",84,AK,Wales,48.36,0
"Reichert, Rowe and Mraz",shopping_net,"Education officer, museum",56,WY,Freedom,9.54,0
"Eichmann, Bogan and Rodriguez",gas_transport,Metallurgist,48,NE,Carroll,74.04,0
Roob LLC,grocery_net,Water engineer,48,CO,Littleton,33.11,0
Friesen-Ortiz,personal_care,Aeronautical engineer,44,MO,Matthews,43.32,0
"Reichert, Huels and Hoppe",shopping_net,Health service manager,96,CA,June Lake,1.46,0
"Willms, Kris and Bergnaum",shopping_pos,Occupational psychologist,69,CA,Tomales,41.03,0
Dare-Marvin,entertainment,"Engineer, petroleum",86,OR,Scotts Mills,70.14,0
"Goldner, Kovacek and Abbott",grocery_pos,Tourist information centre manager,48,MO,Meadville,112.98,0
Emmerich-R,personal_care,"Scientist, audiological",94,CA,Fields Landing,10.38,0
"Romaguera, Wehner and Tromp",kids_pets,Network engineer,67,CO,Kirk,47.57,0
Prosacco LLC,personal_care,Petroleum engineer,36,AZ,Superior,20.22,0
Conroy Lt,shopping_pos,"Sales professional, IT",33,UT,Altonah,281.96,0
Lynch-Wisozk,home,Architectural technologist,62,NM,Llano,49.87,0
"O'Connell, Botsford and Han",home,"Designer, exhibition/display",51,CA,Sun City,89.2,0
Brown PLC,misc_net,"Lecturer, higher education",30,WY,Riverton,4.57,0
Ullrich Lt,kids_pets,Research scientist (physical sciences),42,WY,Lonetree,46.24,0
Erdman-Durgan,health_fitness,Retail merchandiser,95,OR,Sixes,78.22,0
Douglas-White,entertainment,Clothing/textile technologist,24,WA,Tekoa,161.71,0
Lynch Lt,shopping_pos,Public house manager,49,WA,Burlington,1.22,0
Shanahan-Lehne,personal_care,Magazine features editor,44,CA,Sacramento,13.88,0
Mohr-Baye,shopping_net,Chartered public finance accountant,64,CA,San Diego,1.45,0
"Hahn, Douglas and Schowalte",travel,"Scientist, research (maths)",32,HI,Paauilo,8.04,0
Rutherford-Mertz,grocery_pos,Mental health nurse,45,CO,Dumont,96.35,0
Schimmel-Olson,kids_pets,Economist,29,OR,Jordan Valley,46.36,0
Hills-Boye,personal_care,Planning and development surveyor,41,OR,Lake Oswego,3.67,0
Wilkinson Lt,entertainment,Electronics engineer,34,MO,Centerview,84.18,0
Pacocha-Bauch,shopping_pos,Cytogeneticist,69,MO,Browning,68.22,0
"Daugherty, Pouros and Beahan",shopping_pos,"Surveyor, land/geomatics",35,NM,Red River,1587.05,0
Lynch Lt,shopping_pos,"Engineer, maintenance",67,OR,Gardiner,1.31,0
"Swaniawski, Lowe and Robel",shopping_pos,Musician,41,WA,Burbank,9.91,0
Pfeffer and Sons,shopping_pos,"Pilot, airline",35,WY,Laramie,79.52,0
Cummerata-Jones,gas_transport,Insurance broker,41,NE,Sutherland,62.25,0
Goyette Inc,shopping_net,Contractor,42,AZ,Phoenix,165.02,0
"Bahringer, Schoen and Corkery",shopping_pos,Freight forwarder,47,WY,Fort Washakie,137.91,0
"Nienow, Ankunding and Collie",misc_pos,Tax inspector,35,MO,Rocky Mount,1.2,0
Langworth LLC,personal_care,Futures trader,30,UT,American Fork,69.76,0
Bechtelar-Rippin,food_dining,Chartered public finance accountant,64,CA,San Diego,159.22,0
"Tillman, Dickinson and Labadie",gas_transport,Intelligence analyst,52,ID,Meridian,61.92,0
Berge-Ullrich,home,Public house manager,49,WA,Burlington,58.13,0
Bailey-Mo,grocery_pos,Airline pilot,38,CA,Napa,173.07,0
Hudson-Grady,shopping_pos,Licensed conveyancer,23,NM,Ruidoso,2.34,0
Jacobi Inc,health_fitness,"Engineer, communications",22,MO,Ballwin,54.08,0
"Kovacek, Dibbert and Ondrick",grocery_pos,Television floor manager,66,MO,Cardwell,139.33,0
Spencer PLC,entertainment,Immigration officer,36,CA,Fiddletown,85.15,0
Kuphal-Toy,food_dining,"Scientist, research (maths)",32,HI,Paauilo,134.86,0
Goyette Inc,shopping_net,Water engineer,48,CO,Littleton,13.16,0
Douglas-White,entertainment,"Administrator, education",84,AK,Wales,106.68,0
Weimann-Lockman,kids_pets,Chartered public finance accountant,64,CA,San Diego,161.21,0
"Moore, Dibbert and Koepp",misc_net,Museum/gallery exhibitions officer,31,CO,Colorado Springs,292.64,0
Kris-Weimann,misc_net,"Surveyor, minerals",36,UT,Thompson,8.68,0
"Koss, Hansen and Lueilwitz",home,Podiatrist,51,CA,Lakeport,21.16,0
Hermann-Gaylo,misc_pos,Cytogeneticist,69,MO,Browning,4.05,0
Kuphal-Toy,food_dining,Electronics engineer,34,MO,Centerview,7.97,0
"Little, Gutmann and Lynch",shopping_net,Public relations account executive,84,CO,Meredith,7.79,0
Maggio-Fahey,misc_pos,Agricultural consultant,73,MO,Blairstown,1.24,0
"Reichert, Shanahan and Hayes",shopping_net,Musician,41,WA,Burbank,15.35,0
Zemlak Group,misc_net,"Lecturer, higher education",30,WY,Riverton,90.3,0
"Bins, Balistreri and Beatty",shopping_pos,Tax inspector,35,MO,Rocky Mount,1.19,0
Huels-Hahn,gas_transport,Community arts worker,54,CO,Iliff,96.73,0
Daugherty LLC,kids_pets,"Surveyor, minerals",36,UT,Thompson,38.9,0
Gulgowski LLC,home,Tax inspector,35,MO,Rocky Mount,9.95,0
Ernser-Feest,home,Public relations account executive,84,CO,Meredith,267.34,0
Leannon-Nikolaus,travel,"Research officer, political party",39,WA,Conway,1.07,0
Stark-Batz,entertainment,"Geologist, engineering",66,AZ,Parks,30.66,0
Bins-Tillman,entertainment,Special educational needs teacher,45,WA,Orient,2.25,0
"Olson, Becker and Koch",gas_transport,Health service manager,96,CA,June Lake,34.14,0
Vandervort-Funk,grocery_pos,"Therapist, occupational",72,CA,Carlotta,106.93,0
Bins-Rice,gas_transport,Product designer,88,NE,Westerville,49.1,0
Skiles LLC,home,Comptroller,35,CA,San Diego,91.29,0
Block Group,misc_pos,Osteopath,39,WA,Issaquah,8.11,0
Schuppe LLC,entertainment,"Civil engineer, contracting",68,AZ,Humboldt,25.54,0
Jast-McDermott,shopping_pos,Land/geomatics surveyor,38,MO,Arnold,6.1,0
"Swaniawski, Lowe and Robel",shopping_pos,Insurance broker,41,NE,Sutherland,9.23,0
Friesen Lt,health_fitness,Counsellor,35,MO,Kansas City,32.28,0
Turcotte-Halvorson,misc_pos,Wellsite geologist,57,CA,Corona,18.65,0
"Raynor, Reinger and Hagenes",gas_transport,"Surveyor, land/geomatics",35,NM,Red River,64.93,0
Watsica LLC,personal_care,"Teacher, early years/pre",82,MO,Louisiana,72.12,0
Gutmann Lt,grocery_net,"Surveyor, mining",50,NE,Fullerton,54.82,0
Swift PLC,kids_pets,Architect,70,MO,Mound City,44.66,0
Fahey Inc,kids_pets,Freight forwarder,47,WY,Fort Washakie,59.03,0
Corwin-Romague,travel,Dealer,71,NE,Weeping Water,2.2,0
"Little, Gutmann and Lynch",shopping_net,Tax inspector,35,MO,Rocky Mount,5.57,0
Stamm-Witting,shopping_net,Freight forwarder,47,WY,Fort Washakie,104.93,0
Gulgowski LLC,home,"Editor, magazine features",28,CA,Hawthorne,172.25,0
Medhurst PLC,shopping_net,Water engineer,48,CO,Littleton,5.41,0
Hickle Group,shopping_pos,"Surveyor, minerals",83,NE,Campbell,211.18,0
"Runolfsdottir, Mueller and Han",entertainment,Tourist information centre manager,48,MO,Meadville,59.24,0
"Schneider, Hayes and Nikolaus",food_dining,Materials engineer,91,CO,Parker,26.47,0
"Wiza, Schaden and Stark",misc_pos,Museum/gallery exhibitions officer,31,CO,Colorado Springs,21.83,0
Miller-Harris,misc_net,"Surveyor, minerals",36,UT,Thompson,9.88,0
"Effertz, Welch and Schowalte",entertainment,"Designer, exhibition/display",51,CA,Sun City,95.27,0
Schulist Lt,food_dining,"Scientist, research (maths)",32,HI,Paauilo,13.65,0
Ruecker-Mayert,kids_pets,Educational psychologist,42,WY,Manville,90.7,0
"Effertz, Welch and Schowalte",entertainment,Magazine features editor,44,CA,Sacramento,31.77,0
O'Hara-Wilderman,food_dining,"Buyer, industrial",32,CA,Daly City,41.95,0
Friesen Lt,health_fitness,Futures trader,30,UT,American Fork,57.63,0
"Willms, Kris and Bergnaum",shopping_pos,Call centre manager,65,CA,Greenview,2.19,0
Weber and Sons,food_dining,Investment analyst,49,MO,Redford,5.6,0
"Runolfsdottir, Mueller and Han",entertainment,Colour technologist,36,OR,Bay City,21.27,0
Champlin and Sons,home,"Research officer, political party",39,WA,Conway,67.6,0
"Bernier, Streich and Jewess",grocery_net,Chiropodist,56,NE,Sprague,19.92,1
Yost-Rogahn,personal_care,Production manager,38,MO,Wheaton,37.67,0
"Lakin, Ferry and Beatty",food_dining,Cartographer,57,ID,Mesa,5.86,0
Bins-Howell,personal_care,Dealer,71,NE,Weeping Water,31.86,0
Schmitt Lt,misc_net,Aeronautical engineer,44,MO,Matthews,117.29,0
Predovic Inc,shopping_net,"Surveyor, minerals",36,UT,Thompson,9.6,0
Metz-Boehm,shopping_pos,Firefighter,50,CA,Norwalk,3.02,0
Emmerich-Luettgen,grocery_net,"Pilot, airline",35,WY,Laramie,55.51,0
Goldner-Lemke,entertainment,Intelligence analyst,52,ID,Meridian,7.68,0
Stamm-Rodriguez,misc_pos,Further education lecturer,35,CO,Pueblo,331.92,0
Berge LLC,gas_transport,Magazine features editor,44,CA,Sacramento,94.51,0
Tromp Group,travel,"Civil engineer, contracting",62,CA,Santa Monica,4.5,0
Yost-Rogahn,personal_care,Tourist information centre manager,48,MO,Meadville,74.38,0
Koepp-Parke,grocery_pos,Research scientist (physical sciences),46,OR,Newberg,56.41,0
Leannon-W,food_dining,Firefighter,50,CA,Norwalk,10.09,0
Thiel Lt,travel,"Therapist, art",35,NM,Moriarty,8.78,0
Botsford PLC,home,Special educational needs teacher,45,WA,Orient,36.22,0
Wuckert-Walte,grocery_net,Public librarian,49,WY,Jelm,41.88,0
Pacocha-Weissnat,kids_pets,Barista,49,CA,Oakland,45.57,0
Huels-Hahn,gas_transport,Immigration officer,36,CA,Fiddletown,65.26,0
Bahringer-Streich,food_dining,Contractor,42,AZ,Phoenix,12.98,0
Erdman-Schaden,personal_care,Podiatrist,51,CA,Lakeport,28.01,0
Baumbach Lt,personal_care,"Nurse, children's",43,NE,North Loup,56.04,0
Wilkinson LLC,personal_care,Contractor,42,AZ,Phoenix,76.54,0
Goyette Inc,shopping_net,Historic buildings inspector/conservation officer,51,NM,Espanola,6.58,0
Koepp-Parke,grocery_pos,"Administrator, education",84,AK,Wales,130.06,0
Smith-Stokes,misc_pos,Contractor,42,AZ,Phoenix,13.1,0
Christiansen-Gusikowski,misc_pos,Cartographer,57,ID,Mesa,1.3,0
Friesen-Stamm,gas_transport,Electronics engineer,34,MO,Centerview,77.38,0
"Brown, Homenick and Lesch",health_fitness,Education administrator,57,CA,Vinton,90.02,0
McGlynn-Heathcote,misc_net,"Research officer, political party",39,WA,Conway,5.3,0
