merchant,category,job,age,state,city,amount
Kozey-Kuhlman,personal_care,"Surveyor, minerals",83,NE,Campbell,53.42
Sawayn PLC,shopping_pos,"Administrator, education",84,AK,Wales,3.56
Gerlach Inc,shopping_net,Planning and development surveyor,41,OR,Lake Oswego,6.6
Reichel Inc,entertainment,Network engineer,67,CO,Kirk,12.39
Rau-Robel,kids_pets,Naval architect,56,NM,High Rolls Mountain Park,16.24
Stiedemann Inc,misc_pos,Production manager,38,MO,Wheaton,6.83
Kutch-Wilderman,home,Early years teacher,50,CA,Helm,86.58
"Schiller, Blanda and Johnson",home,"Pharmacist, hospital",63,CA,San Diego,6.06
Schumm PLC,shopping_net,"Designer, exhibition/display",51,CA,Sun City,5.37
Wilkinson Lt,entertainment,"Surveyor, minerals",36,UT,Thompson,32.6
Emard Inc,gas_transport,Educational psychologist,42,WY,Manville,46.63
Haag-Blan,food_dining,Cytogeneticist,69,MO,Browning,58.23
Gulgowski LLC,home,"Engineer, civil (consulting)",57,AK,Huslia,154.12
"Altenwerth, Cartwright and Koss",shopping_net,Aeronautical engineer,44,MO,Matthews,5.55
Kiehn-Emmerich,grocery_pos,IT consultant,34,NM,Crownpoint,79.94
"Durgan, Gislason and Spence",home,Systems analyst,77,CA,Grenada,2.39
Berge-Hills,kids_pets,Advertising account planner,41,CA,Glendale,108.75
Eichmann-Kilback,home,Dealer,71,NE,Weeping Water,91.01
Beier LLC,entertainment,Television floor manager,66,MO,Cardwell,7.25
"Turner, Ruecker and Parisian",misc_pos,Immigration officer,36,CA,Fiddletown,37.68
Bernhard Inc,gas_transport,Public librarian,49,WY,Jelm,58.53
Kunze Inc,grocery_pos,"Engineer, agricultural",43,MO,Kissee Mills,91.17
Lebsack and Sons,misc_net,Barrister,87,OR,Cascade Locks,8.98
Greenholt Lt,health_fitness,"Sales professional, IT",33,UT,Altonah,49.11
"Parisian, Schiller and Altenwerth",misc_net,"Teacher, adult education",34,CA,Wendel,58.74
Stark-Koss,home,Investment analyst,49,MO,Redford,17.69
Goyette-Gerhol,kids_pets,"Sales professional, IT",33,UT,Altonah,54.31
Bartoletti and Sons,personal_care,Exercise physiologist,94,MO,Clarksville,24.7
"Olson, Becker and Koch",gas_transport,Armed forces training and education officer,64,CA,Port Costa,57.93
Mayert Group,shopping_pos,"Engineer, building services",60,OR,Portland,6.76
Kiehn Inc,grocery_pos,"Civil engineer, contracting",62,CA,Santa Monica,104.37
Macejkovic-Lesch,shopping_pos,Museum/gallery exhibitions officer,31,CO,Colorado Springs,6.19
"Eichmann, Hayes and Treutel",travel,Planning and development surveyor,41,OR,Lake Oswego,1.18
Haley Group,misc_pos,Special educational needs teacher,45,WA,Orient,4.68
"Hermiston, Russel and Price",food_dining,Physiotherapist,56,HI,Honokaa,65.22
Goodwin-Nitzsche,grocery_pos,"Surveyor, minerals",36,UT,Thompson,90.39
"Daugherty, Pouros and Beahan",shopping_pos,Intelligence analyst,52,ID,Meridian,83.69
Kihn Inc,shopping_pos,Architectural technologist,62,NM,Llano,7.57
Rau-Grant,kids_pets,Magazine features editor,44,CA,Sacramento,6.32
"Quitzon, Green and Bashirian",shopping_pos,Tourist information centre manager,48,MO,Meadville,135.81
Will Lt,food_dining,"Engineer, production",30,MO,Independence,96.93
Morissette-Schaefe,personal_care,"Surveyor, land/geomatics",45,NM,Kirtland Afb,63.13
Cartwright PLC,kids_pets,"Teacher, early years/pre",82,MO,Louisiana,19.21
Kirlin and Sons,personal_care,Intelligence analyst,52,ID,Meridian,164.07
Koss and Sons,gas_transport,"Therapist, occupational",72,CA,Carlotta,51.89
Weber and Sons,food_dining,"Surveyor, land/geomatics",35,NM,Red River,5.48
"Schaefer, Fay and Hilll",entertainment,"Scientist, audiological",60,UT,Mendon,33.16
Nolan-Williamson,kids_pets,Museum/gallery exhibitions officer,31,CO,Colorado Springs,18.38
Lemke-Gutmann,shopping_net,Barista,49,CA,Oakland,15.16
Padberg-Saue,home,Cartographer,57,ID,Mesa,37.84
Skiles LLC,home,Product designer,88,NE,Westerville,79.51
"Schumm, Bauch and Ondrick",grocery_pos,Private music teacher,53,MO,Brashear,115.66
Macejkovic-Lesch,shopping_pos,Podiatrist,51,CA,Lakeport,7.97
Shields-Wunsch,health_fitness,Early years teacher,50,CA,Helm,72.06
Schroeder Group,health_fitness,Tourist information centre manager,48,MO,Meadville,76.18
"Greenholt, Jacobi and Gleason",gas_transport,"Surveyor, minerals",36,UT,Thompson,49.39
"Schaefer, McGlynn and Bosco",gas_transport,Water engineer,48,CO,Littleton,47.85
Berge-Ullrich,home,"Editor, magazine features",28,CA,Hawthorne,29.31
"Eichmann, Bogan and Rodriguez",gas_transport,Electronics engineer,34,MO,Centerview,75.88
Zulauf LLC,personal_care,Special educational needs teacher,45,WA,Orient,335.11
Breitenberg-Hermiston,kids_pets,Occupational psychologist,69,CA,Tomales,26.42
Kilback and Sons,entertainment,Occupational psychologist,69,CA,Tomales,96.29
"Watsica, Haag and Considine",shopping_pos,"Nurse, mental health",75,NE,Roseland,1.69
McGlynn-Heathcote,misc_net,Architectural technologist,62,NM,Llano,24.52
Waelchi-Wol,kids_pets,Research scientist (physical sciences),46,OR,Newberg,6.46
"Casper, Hand and Zul",grocery_pos,"Editor, magazine features",28,CA,Hawthorne,39.51
Kuhn Group,food_dining,"Engineer, production",30,MO,Independence,33.25
Padberg-Rogahn,entertainment,"Education officer, museum",56,WY,Freedom,21.26
Cruickshank-Mills,entertainment,Learning mentor,68,CA,Indian Wells,13.91
"Bins, Balistreri and Beatty",shopping_pos,Investment analyst,49,MO,Redford,857.39
Beer-Jast,kids_pets,Learning mentor,68,CA,Indian Wells,139.5
Gislason Group,misc_pos,Historic buildings inspector/conservation officer,51,NM,Espanola,28.06
Roob LLC,grocery_net,Intelligence analyst,52,ID,Meridian,63.09
"Okuneva, Schneider and R",shopping_pos,Wellsite geologist,67,CA,Claremont,5.01
Kutch and Sons,grocery_pos,"Surveyor, minerals",83,NE,Campbell,129.69
Fritsch LLC,travel,"Designer, exhibition/display",51,CA,Sun City,7.31
"O'Connell, Botsford and Han",home,Electronics engineer,34,MO,Centerview,65.83
Hackett-Lueilwitz,grocery_pos,"Research officer, political party",39,WA,Conway,99.45
Conroy-Cruickshank,gas_transport,"Research officer, political party",39,WA,Conway,82.87
Bailey-Mo,grocery_pos,Clinical research associate,50,MO,Odessa,199.67
Bode-Rempel,kids_pets,Special educational needs teacher,45,WA,Orient,123.77
Haag-Blan,food_dining,"Sales professional, IT",33,UT,Altonah,2.95
Lebsack and Sons,misc_net,"Scientist, research (maths)",32,HI,Paauilo,7.47
Barrows PLC,shopping_pos,Agricultural consultant,73,MO,Blairstown,8.29
Bogisich-Homenick,misc_net,Magazine features editor,44,CA,Sacramento,9.35
Pfeffer and Sons,shopping_pos,Building surveyor,88,AZ,Paradise Valley,8.35
Conroy Lt,shopping_pos,Public relations account executive,84,CO,Meredith,413.21
"Towne, Greenholt and Koepp",shopping_net,Public house manager,49,WA,Burlington,439.95
Kihn Inc,shopping_pos,Airline pilot,38,CA,Napa,52.82
"Mosciski, Gislason and Mertz",grocery_pos,"Civil engineer, contracting",62,CA,Santa Monica,75.71
Heidenreich PLC,grocery_pos,Historic buildings inspector/conservation officer,51,NM,Espanola,38.41
"Johnson, Runolfsdottir and Maye",misc_net,Museum/gallery exhibitions officer,31,CO,Colorado Springs,7.98
Schumm PLC,health_fitness,Occupational psychologist,69,CA,Tomales,38.4
Berge-Ullrich,home,Armed forces training and education officer,64,CA,Port Costa,50.08
Ankunding-Carroll,travel,Education administrator,57,CA,Vinton,8.71
Miller-Harris,misc_net,"Engineer, production",30,MO,Independence,1.03
Ledner-Pfannerstill,gas_transport,"Engineer, communications",22,MO,Ballwin,45.65
Bartoletti and Sons,personal_care,Immigration officer,36,CA,Fiddletown,80.93
"Boehm, Predovic and Reinge",misc_pos,Educational psychologist,42,WY,Manville,63.07
Corwin-Gorczany,misc_net,Counselling psychologist,23,AZ,Phoenix,6.64
Kilback and Sons,entertainment,Human resources officer,38,CO,Red Cliff,78.74
Flatley-Durgan,misc_net,Land/geomatics surveyor,51,MO,Utica,3.31
Schmeler-Howe,personal_care,Futures trader,30,UT,American Fork,154.18
Swift PLC,kids_pets,"Radiographer, diagnostic",61,MO,Syracuse,35.41
"Schiller, Blanda and Johnson",home,"Engineer, automotive",49,NE,Hooper,142.73
Kassulke PLC,shopping_net,Web designer,40,CA,Smith River,4.46
Rolfson-Kunde,personal_care,Land/geomatics surveyor,51,MO,Utica,48.37
Marvin-Lin,personal_care,"Therapist, art",35,NM,Moriarty,42.99
"Daugherty, Pouros and Beahan",shopping_pos,"Nurse, children's",43,NE,North Loup,87.56
Graham and Sons,health_fitness,"Surveyor, mining",50,NE,Fullerton,30.18
Barton Inc,grocery_pos,Immigration officer,36,CA,Fiddletown,114.46
Rempel Inc,shopping_net,Tax inspector,35,MO,Rocky Mount,9.45
Schmitt Inc,gas_transport,Special educational needs teacher,45,WA,Orient,43.84
Gerlach Inc,shopping_net,Tourist information centre manager,48,MO,Meadville,92.14
Douglas-White,entertainment,Architectural technologist,62,NM,Llano,7.83
Larson-Moen,entertainment,"Civil engineer, contracting",62,CA,Santa Monica,15.2
Gleason-Macejkovic,shopping_net,Advertising account planner,41,CA,Glendale,5.51
Vandervort-Funk,grocery_pos,Contractor,42,AZ,Phoenix,199.26
"Denesik, Powlowski and Pouros",home,Early years teacher,50,CA,Helm,90.13
McKenzie-Huels,food_dining,"Pilot, airline",35,WY,Laramie,6.63
Upton PLC,entertainment,Freight forwarder,47,WY,Fort Washakie,73.23
Rutherford-Mertz,grocery_pos,"Education officer, museum",56,WY,Freedom,132.58
Funk Group,grocery_net,Counsellor,35,MO,Kansas City,34.58
Kessler Inc,travel,Barrister,87,OR,Cascade Locks,6.2
"Lehner, Mosciski and King",misc_net,Special educational needs teacher,45,WA,Orient,8.97
McDermott-Rice,misc_pos,Glass blower/designer,53,MO,Williamsburg,41.88
"Fadel, Mertz and Rippin",entertainment,"Editor, magazine features",28,CA,Hawthorne,168.6
Pouros-Haag,shopping_pos,Network engineer,78,NE,Valentine,9.66
Kuhn Group,food_dining,Electronics engineer,34,MO,Centerview,25.15
Doyle Lt,grocery_pos,Educational psychologist,42,WY,Manville,60.99
Hudson-Grady,shopping_pos,Call centre manager,65,CA,Greenview,5.8
Watsica LLC,personal_care,Music therapist,39,WY,Rock Springs,18.46
Reichert-Weissnat,travel,Land/geomatics surveyor,38,MO,Arnold,8.61
"Swift, Bradtke and Marquardt",grocery_net,Health physicist,52,CA,Newhall,89.47
Spencer PLC,entertainment,Counselling psychologist,23,AZ,Phoenix,21.2
Goodwin-Nitzsche,grocery_pos,Osteopath,39,WA,Issaquah,186.06
Wuckert-Goldne,home,"Therapist, music",35,CA,Mountain Center,10.37
Bogisich-Weimann,kids_pets,Tourist information centre manager,48,MO,Meadville,44.79
Morissette PLC,shopping_pos,Petroleum engineer,36,AZ,Superior,8.52
Breitenberg-Hermiston,kids_pets,Armed forces training and education officer,64,CA,Port Costa,61.83
"Turner, Ruecker and Parisian",misc_pos,Public house manager,49,WA,Burlington,18.28
Huels-Nolan,gas_transport,Advertising account planner,41,CA,Glendale,61.03
Abbott-Rogahn,entertainment,"Administrator, education",84,AK,Wales,50.63
"Robel, Cummerata and Prosacco",gas_transport,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,54.8
Daugherty LLC,kids_pets,Sales executive,53,CA,Laguna Hills,82.07
Bode-Schuste,kids_pets,Public house manager,49,WA,Burlington,165.43
Dare-Gibson,health_fitness,Musician,41,WA,Burbank,34.35
"Roob, Conn and Tremblay",shopping_pos,Education administrator,57,CA,Vinton,25.37
Pagac LLC,shopping_pos,Advertising account planner,41,CA,Glendale,2.66
Monahan-Mo,personal_care,Health service manager,96,CA,June Lake,29.94
Dibbert-Green,entertainment,"Engineer, civil (consulting)",57,AK,Huslia,6.48
"Schaefer, McGlynn and Bosco",gas_transport,Cytogeneticist,69,MO,Browning,51.87
Gottlieb Group,kids_pets,"Research officer, political party",39,WA,Conway,9.8
"Hahn, Bahringer and McLaughlin",personal_care,"Surveyor, mining",50,NE,Fullerton,23.02
Greenholt Lt,health_fitness,"Surveyor, minerals",36,UT,Thompson,63.89
"Raynor, Reinger and Hagenes",gas_transport,"Nurse, children's",43,NE,North Loup,96.13
Miller-Harris,misc_net,Aeronautical engineer,44,MO,Matthews,8.6
Ruecker-Mayert,kids_pets,Planning and development surveyor,41,OR,Lake Oswego,16.35
"Reichel, Bradtke and Blan",travel,Sales executive,53,CA,Laguna Hills,9.16
Streich Lt,home,Medical technical officer,54,WA,Monitor,10.13
Price Inc,shopping_net,Music therapist,39,WY,Rock Springs,1.12
"Reichert, Huels and Hoppe",shopping_net,Telecommunications researcher,73,NE,Holstein,154.56
Heidenreich PLC,grocery_pos,Water engineer,48,CO,Littleton,198.8
Hills-Witting,shopping_net,Geoscientist,61,UT,Hatch,47.74
Harris Inc,gas_transport,Osteopath,39,WA,Issaquah,80.63
"Kuhic, Bins and Pfeffe",shopping_net,"Engineer, biomedical",55,OR,Stayton,90.05
Nienow PLC,entertainment,Early years teacher,50,CA,Helm,83.5
Frami Group,entertainment,"Surveyor, land/geomatics",45,NM,Kirtland Afb,34.0
"Heathcote, Yost and Kertzmann",shopping_net,Video editor,67,WA,Ashford,2.11
Berge LLC,gas_transport,Clothing/textile technologist,24,WA,Tekoa,76.59
"Lubowitz, Terry and Stracke",personal_care,Land/geomatics surveyor,51,MO,Utica,13.76
Klein Group,entertainment,Tax inspector,35,MO,Rocky Mount,83.32
"Stokes, Christiansen and Sipes",grocery_net,"Lecturer, higher education",30,WY,Riverton,79.38
Volkman-Predovic,shopping_net,Public librarian,49,WY,Jelm,4.95
"Windler, Goodwin and Kovacek",home,Location manager,33,UT,Moab,87.05
"Schumm, Bauch and Ondrick",grocery_pos,"Geologist, engineering",66,AZ,Parks,121.16
"Schroeder, Wolff and Hermiston",travel,Tax inspector,35,MO,Rocky Mount,1.29
Friesen Lt,health_fitness,Tourist information centre manager,48,MO,Meadville,77.84
"Douglas, Schneider and Turne",shopping_pos,Chartered public finance accountant,64,CA,San Diego,1.4
Kunze Inc,grocery_pos,Firefighter,50,CA,Norwalk,87.87
Hackett-Lueilwitz,grocery_pos,Water engineer,48,CO,Littleton,192.49
"Graham, Hegmann and Hammes",food_dining,"Surveyor, land/geomatics",35,NM,Red River,7.02
"Kunze, Larkin and Mayert",travel,"Research officer, political party",39,WA,Conway,7.21
Gerlach Inc,shopping_net,Public relations account executive,84,CO,Meredith,9.89
"Reichert, Shanahan and Hayes",shopping_net,Geoscientist,26,CA,San Jose,6.02
"Streich, Dietrich and Barton",shopping_net,Music therapist,39,WY,Rock Springs,9.36
Feil-Mo,health_fitness,Information systems manager,37,WY,Fort Washakie,91.25
"Schumm, Bauch and Ondrick",grocery_pos,"Education officer, museum",56,WY,Freedom,137.79
Ledner-Pfannerstill,gas_transport,Information systems manager,37,WY,Fort Washakie,62.82
Friesen-D'Amore,gas_transport,Clinical research associate,50,MO,Odessa,85.5
Lind-Buckridge,entertainment,Television/film/video producer,66,NE,Nelson,19.64
"Willms, Kris and Bergnaum",shopping_pos,Investment analyst,49,MO,Redford,7.73
McDermott-Weimann,grocery_pos,Water engineer,48,CO,Littleton,220.19
Abbott-Rogahn,entertainment,"Therapist, art",35,NM,Moriarty,23.78
Rau and Sons,grocery_pos,Educational psychologist,42,WY,Manville,99.19
"Hayes, Marquardt and Dibbert",misc_net,"Scientist, audiological",94,CA,Fields Landing,351.92
Jewess LLC,shopping_pos,"Sales professional, IT",33,UT,Altonah,4.39
Keeling-Crist,misc_pos,"Engineer, automotive",49,NE,Hooper,3.42
Schoen Lt,kids_pets,Immigration officer,36,CA,Fiddletown,45.41
Bogisich-Weimann,kids_pets,"Pharmacist, hospital",63,CA,San Diego,19.24
Greenholt Lt,health_fitness,Planning and development surveyor,41,OR,Lake Oswego,12.61
Abernathy and Sons,food_dining,"Buyer, industrial",32,CA,Daly City,44.66
DuBuque LLC,grocery_pos,Wellsite geologist,57,CA,Corona,87.18
"Koss, Hansen and Lueilwitz",home,Human resources officer,56,NE,Manley,47.65
"Christiansen, Goyette and Schamberge",gas_transport,Land/geomatics surveyor,38,MO,Arnold,58.28
"Schumm, Bauch and Ondrick",grocery_pos,Firefighter,50,CA,Norwalk,42.25
Prosacco LLC,personal_care,"Civil engineer, contracting",62,CA,Santa Monica,2.9
Bailey-Mo,grocery_pos,Web designer,40,CA,Smith River,140.39
"Rutherford, Homenick and Bergstrom",grocery_net,"Designer, exhibition/display",51,CA,Sun City,45.88
Schmitt Inc,gas_transport,Cytogeneticist,69,MO,Browning,72.28
Fadel-Hilpert,health_fitness,Video editor,67,WA,Ashford,42.21
Kutch LLC,gas_transport,Tax inspector,35,MO,Rocky Mount,56.59
Parker-Kunde,personal_care,Cytogeneticist,69,MO,Browning,60.86
Shanahan-Lehne,personal_care,"Education officer, museum",56,WY,Freedom,71.35
Sporer-Keeble,personal_care,"Scientist, audiological",94,CA,Fields Landing,1.37
Volkman PLC,food_dining,Osteopath,39,WA,Issaquah,82.4
Hudson-Grady,shopping_pos,Occupational hygienist,63,MO,Saint Louis,13.67
Schmeler-Howe,personal_care,Charity officer,56,NM,Albuquerque,12.73
Swift PLC,kids_pets,"Radiographer, diagnostic",61,MO,Syracuse,16.0
Larkin Lt,kids_pets,Insurance broker,41,NE,Sutherland,31.12
"O'Reilly, Mohr and Purdy",home,Forensic psychologist,62,OR,Westfir,2.77
"Romaguera, Wehner and Tromp",kids_pets,Product designer,88,NE,Westerville,256.3
"Turner, Ziemann and Lehne",food_dining,"Research officer, political party",39,WA,Conway,79.46
"Pouros, Walker and Spence",kids_pets,"Scientist, marine",53,CO,Aurora,123.58
"Kutch, Hermiston and Farrell",gas_transport,"Sales professional, IT",33,UT,Altonah,65.66
Schmitt Lt,misc_net,"Engineer, biomedical",55,OR,Stayton,51.68
Smitham-Schille,grocery_net,Sales executive,53,CA,Laguna Hills,91.76
Gottlieb Group,kids_pets,"Pilot, airline",35,WY,Laramie,35.29
Goyette Inc,shopping_net,Podiatrist,51,CA,Lakeport,108.81
"Mante, Luettgen and Hackett",health_fitness,Medical technical officer,54,WA,Monitor,15.94
"Altenwerth, Cartwright and Koss",shopping_net,Petroleum engineer,36,AZ,Superior,18.15
"Koss, Hansen and Lueilwitz",home,Firefighter,50,CA,Norwalk,222.08
Huels-Nolan,gas_transport,Architect,70,MO,Mound City,63.39
Lesch Lt,shopping_pos,"Education officer, museum",56,WY,Freedom,3.48
"Turner, Ruecker and Parisian",misc_pos,Contractor,42,AZ,Phoenix,54.07
"Reinger, Weissnat and Strosin",food_dining,Immigration officer,36,CA,Fiddletown,62.09
"Zieme, Bode and Dooley",gas_transport,Barrister,87,OR,Cascade Locks,89.33
Breitenberg LLC,travel,"Engineer, communications",22,MO,Ballwin,8.07
Lind-Buckridge,entertainment,Location manager,33,UT,Moab,1.04
Schmitt Inc,gas_transport,Product/process development scientist,50,WY,Lagrange,45.14
"Swaniawski, Bahringer and Ledne",grocery_net,Hotel manager,36,CO,Arvada,68.33
Sporer Inc,gas_transport,Research scientist (maths),95,NE,Howells,57.61
Osinski Inc,personal_care,"Editor, magazine features",28,CA,Hawthorne,7.0
Stark-Koss,home,Tax inspector,35,MO,Rocky Mount,42.08
Deckow-O'Conne,grocery_pos,Educational psychologist,42,WY,Manville,86.48
Jakubowski Inc,home,Magazine features editor,44,CA,Sacramento,81.91
Padberg-Rogahn,entertainment,Historic buildings inspector/conservation officer,51,NM,Espanola,11.8
Bechtelar-Rippin,food_dining,Geoscientist,61,UT,Hatch,19.84
Lind-Buckridge,entertainment,Civil Service fast streamer,40,CA,Azusa,158.17
Champlin-Caspe,home,Advertising account planner,41,CA,Glendale,119.7
"Ruecker, Beer and Collie",shopping_net,"Surveyor, land/geomatics",35,NM,Red River,1.49
"O'Connell, Botsford and Han",home,Research scientist (maths),95,NE,Howells,41.4
Welch Inc,misc_net,Hotel manager,36,CO,Arvada,5.37
"Rodriguez, Yost and Jenkins",misc_net,Historic buildings inspector/conservation officer,51,NM,Espanola,4.96
Daugherty-Thompson,food_dining,Naval architect,56,NM,High Rolls Mountain Park,41.11
Ankunding-Carroll,travel,Systems analyst,77,CA,Grenada,6.27
Erdman-Kertzmann,gas_transport,Advertising account planner,41,CA,Glendale,68.16
"Schaefer, Maggio and Daugherty",gas_transport,Water engineer,48,CO,Littleton,58.54
Abbott-Steube,personal_care,"Scientist, research (maths)",32,HI,Paauilo,7.56
"Schaefer, McGlynn and Bosco",gas_transport,Land/geomatics surveyor,38,MO,Arnold,109.41
Koepp-Parke,grocery_pos,"Engineer, production",30,MO,Independence,231.81
Gibson-Deckow,entertainment,Podiatrist,51,CA,Lakeport,19.64
"Schoen, Nienow and Bauch",personal_care,"Research officer, political party",39,WA,Conway,56.91
Hamill-D'Amore,health_fitness,"Scientist, audiological",60,UT,Mendon,104.22
Kling Inc,gas_transport,Barrister,87,OR,Cascade Locks,61.08
"Zieme, Bode and Dooley",gas_transport,Product designer,88,NE,Westerville,50.63
Pacocha-Weissnat,kids_pets,"Engineer, biomedical",55,OR,Stayton,158.1
Kuhn LLC,shopping_pos,"Buyer, industrial",32,CA,Daly City,163.19
Schuppe-Schuppe,food_dining,"Research officer, political party",39,WA,Conway,41.54
"Conroy, Balistreri and Gorczany",health_fitness,Freight forwarder,47,WY,Fort Washakie,73.94
Herzog Lt,misc_pos,"Surveyor, minerals",36,UT,Thompson,52.28
"Konopelski, Schneider and Hartmann",food_dining,Counsellor,35,MO,Kansas City,44.59
Prosacco LLC,personal_care,Physiotherapist,56,HI,Honokaa,39.77
Price Inc,shopping_net,Intelligence analyst,52,ID,Meridian,2.74
"Heller, Gutmann and Zieme",grocery_pos,Dealer,71,NE,Weeping Water,112.33
Predovic Inc,shopping_net,Osteopath,39,WA,Issaquah,2.3
Kemmer-Buckridge,misc_pos,Exercise physiologist,94,MO,Clarksville,84.08
Shields-Wunsch,health_fitness,"Pilot, airline",35,WY,Laramie,70.64
Kihn Inc,shopping_pos,Educational psychologist,71,NM,Loving,77.69
"Zieme, Bode and Dooley",gas_transport,Land/geomatics surveyor,51,MO,Utica,76.53
"Cremin, Hamill and Reichel",misc_pos,Clothing/textile technologist,24,WA,Tekoa,47.57
Leffler-Goldne,personal_care,Dealer,47,OR,Athena,71.85
"Schaefer, McGlynn and Bosco",gas_transport,"Surveyor, mining",50,NE,Fullerton,42.8
Hamill-D'Amore,health_fitness,Historic buildings inspector/conservation officer,51,NM,Espanola,21.93
Halvorson Group,misc_pos,Early years teacher,50,CA,Helm,40.74
"Eichmann, Bogan and Rodriguez",gas_transport,Charity officer,56,NM,Albuquerque,90.21
"Parisian, Schiller and Altenwerth",misc_net,Health physicist,52,CA,Newhall,39.94
Simonis-Prohask,misc_pos,Immigration officer,36,CA,Fiddletown,41.4
"Schoen, Nienow and Bauch",personal_care,Tax inspector,35,MO,Rocky Mount,10.6
Vandervort-Funk,grocery_pos,Occupational psychologist,69,CA,Tomales,131.06
Connelly-Carte,home,Architect,70,MO,Mound City,39.74
Kutch LLC,gas_transport,"Engineer, automotive",49,NE,Hooper,49.5
Huels-Hahn,gas_transport,Colour technologist,36,OR,Bay City,50.25
Cartwright PLC,kids_pets,Research scientist (physical sciences),42,WY,Lonetree,47.21
Volkman Lt,misc_net,Advertising account planner,41,CA,Glendale,1.21
"Hagenes, Kohler and Hoppe",food_dining,"Engineer, electronics",56,CO,Broomfield,66.03
"Schaefer, McGlynn and Bosco",gas_transport,Investment analyst,49,MO,Redford,59.71
"Brown, Homenick and Lesch",health_fitness,Petroleum engineer,36,AZ,Superior,41.84
Barrows PLC,shopping_pos,"Engineer, automotive",49,NE,Hooper,3.01
Ruecker-Mayert,kids_pets,"Sales professional, IT",33,UT,Altonah,15.9
"Heathcote, Yost and Kertzmann",shopping_net,"Engineer, production",30,MO,Independence,29.38
Block-Parisian,misc_net,Teaching laboratory technician,38,WA,Vancouver,23.24
Pagac LLC,shopping_pos,Educational psychologist,42,WY,Manville,8.98
Skiles LLC,home,"Buyer, industrial",32,CA,Daly City,40.05
Kuphal-Predovic,misc_net,Magazine features editor,44,CA,Sacramento,5.53
Johns Inc,entertainment,Glass blower/designer,53,MO,Williamsburg,65.82
Kilback LLC,food_dining,Tax inspector,35,MO,Rocky Mount,22.92
Altenwerth-Kilback,home,"Research officer, political party",39,WA,Conway,27.11
Bartoletti and Sons,personal_care,"Engineer, agricultural",43,MO,Kissee Mills,79.75
Baumbach Lt,personal_care,"Engineer, production",30,MO,Independence,4.14
Watsica LLC,personal_care,"Lecturer, higher education",30,WY,Riverton,176.72
Harber Inc,gas_transport,Town planner,57,MO,Luray,43.17
Gleason-Macejkovic,shopping_net,Musician,41,WA,Burbank,164.61
"Raynor, Reinger and Hagenes",gas_transport,Clothing/textile technologist,24,WA,Tekoa,81.43
Bauch-Blan,entertainment,"Engineer, production",30,MO,Independence,80.96
Wuckert-Goldne,home,Music therapist,39,WY,Rock Springs,46.54
Daugherty LLC,kids_pets,Public relations account executive,59,NM,Lamy,128.91
Heller-Abshire,grocery_net,Planning and development surveyor,41,OR,Lake Oswego,46.59
Kautzer and Sons,personal_care,Associate Professor,56,NE,Brainard,73.59
Schmeler-Howe,personal_care,"Surveyor, minerals",83,NE,Campbell,9.55
Parisian and Sons,gas_transport,Private music teacher,53,MO,Brashear,55.35
"Ritchie, Oberbrunner and Cremin",travel,"Civil engineer, contracting",62,CA,Santa Monica,7.41
O'Keefe-Hudson,grocery_pos,Insurance broker,41,NE,Sutherland,132.08
"Goyette, Howell and Collie",shopping_pos,Museum/gallery exhibitions officer,31,CO,Colorado Springs,95.04
Botsford PLC,home,Early years teacher,50,CA,Helm,84.75
Kilback LLC,food_dining,Land/geomatics surveyor,38,MO,Arnold,4.66
Kutch Group,grocery_net,Clothing/textile technologist,24,WA,Tekoa,24.93
Wolf Inc,grocery_pos,"Engineer, production",30,MO,Independence,179.64
Schimmel-Olson,kids_pets,Naval architect,56,NM,High Rolls Mountain Park,58.52
Conroy-Cruickshank,gas_transport,Insurance broker,41,NE,Sutherland,61.03
Kiehn-Emmerich,grocery_pos,Video editor,67,WA,Ashford,119.55
"Moen, Reinger and Murphy",grocery_pos,"Therapist, art",35,NM,Moriarty,50.63
Jaskolski-Vandervort,misc_net,Naval architect,25,MO,Owensville,6.38
"Gutmann, McLaughlin and Wiz",home,"Engineer, agricultural",43,MO,Kissee Mills,71.4
Kub PLC,personal_care,Product/process development scientist,50,WY,Lagrange,46.37
"Stehr, Jewess and Schimmel",misc_net,Counselling psychologist,23,AZ,Phoenix,5.02
"Kohler, Lindgren and Koelpin",grocery_net,Public house manager,49,WA,Burlington,45.63
Schoen Lt,kids_pets,Early years teacher,50,CA,Helm,45.24
Schoen Lt,kids_pets,"Administrator, education",84,AK,Wales,27.71
"Fadel, Mertz and Rippin",entertainment,"Surveyor, minerals",36,UT,Thompson,32.97
Koelpin and Sons,misc_net,Research scientist (maths),95,NE,Howells,4.42
"Koss, Hansen and Lueilwitz",home,Forensic psychologist,62,OR,Westfir,8.65
DuBuque LLC,grocery_pos,Museum education officer,81,OR,Kent,137.83
Mayert Group,shopping_pos,Water engineer,48,CO,Littleton,8.59
"Zemlak, Tillman and Cremin",personal_care,Aeronautical engineer,44,MO,Matthews,3.05
Mosciski Group,travel,"Lecturer, higher education",30,WY,Riverton,5.5
Homenick LLC,personal_care,Materials engineer,91,CO,Parker,57.5
Hudson-Ratke,grocery_pos,Educational psychologist,42,WY,Manville,127.32
Skiles LLC,home,Land/geomatics surveyor,51,MO,Utica,71.58
